Date,Open,High,Low,Close,AdjustedClose,Volume
2025-04-09,171.9500,200.6100,171.8900,198.8500,198.1723,184395900
2025-04-10,189.0700,194.7800,183.0000,190.4200,189.7711,121880000
2025-04-11,186.1000,199.5400,186.0600,198.1500,197.4747,87435900
2025-04-12,198.1500,198.1500,198.1500,198.1500,197.4747,0
2025-04-13,198.1500,198.1500,198.1500,198.1500,197.4747,0
2025-04-14,211.4400,212.9400,201.1600,202.5200,201.8298,101352900
2025-04-15,201.8600,203.5100,199.8000,202.1400,201.4511,51343900
2025-04-16,198.3600,200.7000,192.3700,194.2700,193.6080,59732400
2025-04-17,197.2000,198.8300,194.4200,196.9800,196.3087,52164700
2025-04-18,196.9800,196.9800,196.9800,196.9800,196.3087,0
2025-04-19,196.9800,196.9800,196.9800,196.9800,196.3087,0
2025-04-20,196.9800,196.9800,196.9800,196.9800,196.3087,0
2025-04-21,193.2700,193.8000,189.8100,193.1600,192.5017,46742500
2025-04-22,196.1200,201.5900,195.9700,199.7400,199.0593,52976400
2025-04-23,206.0000,208.0000,202.8000,204.6000,203.9028,52929200
2025-04-24,204.8900,208.8300,202.9400,208.3700,207.6599,47311000
2025-04-25,206.3700,209.7500,206.2000,209.2800,208.5668,38222300
2025-04-26,209.2800,209.2800,209.2800,209.2800,208.5668,0
2025-04-27,209.2800,209.2800,209.2800,209.2800,208.5668,0
2025-04-28,210.0000,211.5000,207.4600,210.1400,209.4239,38743100
2025-04-29,208.6900,212.2400,208.3700,211.2100,210.4902,36827600
2025-04-30,209.3000,213.5800,206.6700,212.5000,211.7758,52286500
2025-05-01,209.0800,214.5600,208.9000,213.3200,212.5930,57365700
2025-05-02,206.0900,206.9900,202.1600,205.3500,204.6502,101010600
2025-05-03,205.3500,205.3500,205.3500,205.3500,204.6502,0
2025-05-04,205.3500,205.3500,205.3500,205.3500,204.6502,0
2025-05-05,203.1000,204.1000,198.2100,198.8900,198.2122,69018500
2025-05-06,198.2100,200.6500,197.0200,198.5100,197.8335,51216500
2025-05-07,199.1700,199.4400,193.2500,196.2500,195.5812,68536700
2025-05-08,197.7200,200.0500,194.6800,197.4900,196.8170,50478900
2025-05-09,199.0000,200.5400,197.5400,198.5300,197.8534,36453900
2025-05-10,198.5300,198.5300,198.5300,198.5300,197.8534,0
2025-05-11,198.5300,198.5300,198.5300,198.5300,197.8534,0
2025-05-12,210.9700,211.2700,206.7500,210.7900,210.3471,63775800
2025-05-13,210.4300,213.4000,209.0000,212.9300,212.4826,51909300
2025-05-14,212.4300,213.9400,210.5800,212.3300,211.8839,49325800
2025-05-15,210.9500,212.9600,209.5400,211.4500,211.0057,45029500
2025-05-16,212.3600,212.5700,209.7700,211.2600,210.8161,54737900
2025-05-17,211.2600,211.2600,211.2600,211.2600,210.8161,0
2025-05-18,211.2600,211.2600,211.2600,211.2600,210.8161,0
2025-05-19,207.9100,209.4800,204.2600,208.7800,208.3414,46140500
